# # frequency [invcm]  IR intensity [a.u.]
3.962394400000000019e+02  2.913654300000000148e+03
4.031910100000000057e+02  3.021828500000000076e+03
4.101425800000000095e+02  3.133377800000000207e+03
4.170941500000000133e+02  3.247566800000000057e+03
4.240457200000000171e+02  3.363357700000000023e+03
4.309972900000000209e+02  3.479787100000000009e+03
4.379488600000000247e+02  3.596358999999999924e+03
4.449004299999999716e+02  3.713327000000000226e+03
4.518519999999999754e+02  3.831728300000000218e+03
4.588035699999999792e+02  3.953074099999999817e+03
4.657551300000000083e+02  4.078704999999999927e+03
4.727067000000000121e+02  4.208965299999999843e+03
4.796582700000000159e+02  4.342490099999999984e+03
4.866098400000000197e+02  4.475952299999999923e+03
4.935614100000000235e+02  4.604534899999999652e+03
5.005129800000000273e+02  4.723165899999999965e+03
5.074645499999999743e+02  4.828239800000000287e+03
5.144161199999999781e+02  4.919275700000000143e+03
5.213676900000000387e+02  4.999849199999999655e+03
5.283192599999999857e+02  5.077277299999999741e+03
5.352708300000000463e+02  5.160915299999999661e+03
5.422223999999999933e+02  5.259428399999999783e+03
5.491739599999999655e+02  5.377842599999999948e+03
5.561255300000000261e+02  5.515362900000000081e+03
5.630770999999999731e+02  5.664781799999999748e+03
5.700286700000000337e+02  5.813802599999999984e+03
5.769802399999999807e+02  5.947955299999999625e+03
5.839318100000000413e+02  6.054214100000000144e+03
5.908833799999999883e+02  6.124170100000000275e+03
5.978349500000000489e+02  6.155770400000000336e+03
6.047865199999999959e+02  6.153148900000000140e+03
6.117380900000000565e+02  6.124751000000000204e+03
6.186896600000000035e+02  6.080523900000000140e+03
6.256412299999999505e+02  6.029194999999999709e+03
6.325927900000000363e+02  5.976510900000000220e+03
6.395443599999999833e+02  5.924841199999999844e+03
6.464959300000000439e+02  5.873979999999999563e+03
6.534474999999999909e+02  5.822543099999999868e+03
6.603990700000000516e+02  5.769227299999999559e+03
6.673506399999999985e+02  5.713400300000000243e+03
6.743022099999999455e+02  5.654897200000000339e+03
6.812537800000000061e+02  5.593314800000000105e+03
6.882053499999999531e+02  5.527321200000000317e+03
6.951569200000000137e+02  5.454449499999999716e+03
7.021084899999999607e+02  5.371559299999999894e+03
7.090600600000000213e+02  5.275787999999999556e+03
7.160116199999999935e+02  5.165559100000000399e+03
7.229631900000000542e+02  5.041178799999999683e+03
7.299147600000000011e+02  4.904759399999999914e+03
7.368663299999999481e+02  4.759534200000000055e+03
7.438179000000000087e+02  4.608913099999999758e+03
7.507694699999999557e+02  4.455729599999999664e+03
7.577210400000000163e+02  4.302000299999999697e+03
7.646726099999999633e+02  4.149225300000000061e+03
7.716241800000000239e+02  3.998958999999999833e+03
7.785757499999999709e+02  3.853227800000000116e+03
7.855273200000000315e+02  3.714443600000000060e+03
7.924788899999999785e+02  3.584734300000000076e+03
7.994304499999999507e+02  3.464946600000000217e+03
8.063820200000000114e+02  3.353808199999999943e+03
8.133335899999999583e+02  3.247735299999999825e+03
8.202851600000000190e+02  3.141533399999999801e+03
8.272367299999999659e+02  3.029853900000000067e+03
8.341883000000000266e+02  2.908913599999999860e+03
8.411398699999999735e+02  2.777824599999999919e+03
8.480914400000000342e+02  2.638994499999999789e+03
8.550430099999999811e+02  2.497408600000000206e+03
8.619945800000000418e+02  2.359036599999999908e+03
8.689461499999999887e+02  2.228951100000000224e+03
8.758977200000000494e+02  2.109845699999999852e+03
8.828492800000000216e+02  2.001466599999999971e+03
8.898008499999999685e+02  1.901102900000000091e+03
8.967524200000000292e+02  1.804871300000000019e+03
9.037039899999999761e+02  1.709250800000000027e+03
9.106555600000000368e+02  1.612279800000000023e+03
9.176071299999999837e+02  1.514013699999999972e+03
9.245587000000000444e+02  1.416172700000000077e+03
9.315102699999999913e+02  1.321228100000000040e+03
9.384618400000000520e+02  1.231364100000000008e+03
9.454134099999999989e+02  1.147741800000000012e+03
9.523649799999999459e+02  1.070310999999999922e+03
9.593165500000000065e+02  9.981618200000000343e+02
9.662681099999999788e+02  9.301860199999999850e+02
9.732196800000000394e+02  8.657276900000000524e+02
9.801712499999999864e+02  8.049479000000000042e+02
9.871228200000000470e+02  7.487851500000000442e+02
9.940743899999999940e+02  6.985726100000000542e+02
1.001025999999999954e+03  6.555023499999999785e+02
1.007977499999999964e+03  6.201597600000000057e+02
1.014929099999999949e+03  5.922914100000000417e+02
1.021880700000000047e+03  5.708566899999999578e+02
1.028832200000000057e+03  5.543024799999999459e+02
1.035783799999999928e+03  5.409344800000000077e+02
1.042735400000000027e+03  5.292537200000000439e+02
1.049686899999999923e+03  5.181707499999999982e+02
1.056638500000000022e+03  5.070724299999999971e+02
1.063590099999999893e+03  4.957694799999999873e+02
1.070541699999999992e+03  4.843782499999999800e+02
1.077493199999999888e+03  4.731881900000000201e+02
1.084444799999999987e+03  4.625482799999999770e+02
1.091396400000000085e+03  4.527844099999999798e+02
1.098347899999999981e+03  4.441459300000000212e+02
1.105299500000000080e+03  4.367746799999999894e+02
1.112251099999999951e+03  4.306907199999999989e+02
1.119202600000000075e+03  4.257911300000000097e+02
1.126154199999999946e+03  4.218600099999999884e+02
1.133105800000000045e+03  4.185891399999999862e+02
1.140057299999999941e+03  4.156103200000000015e+02
1.147008900000000040e+03  4.125423799999999801e+02
1.153960499999999911e+03  4.090544100000000185e+02
1.160912100000000009e+03  4.049408099999999990e+02
1.167863599999999906e+03  4.001926000000000272e+02
1.174815200000000004e+03  3.950392800000000193e+02
1.181766800000000103e+03  3.899333399999999870e+02
1.188718299999999999e+03  3.854617000000000075e+02
1.195669900000000098e+03  3.821936099999999783e+02
1.202621499999999969e+03  3.805050800000000208e+02
1.209573000000000093e+03  3.804398800000000165e+02
1.216524599999999964e+03  3.816653900000000021e+02
1.223476200000000063e+03  3.835528100000000222e+02
1.230427699999999959e+03  3.853653800000000160e+02
1.237379300000000057e+03  3.864928400000000011e+02
1.244330899999999929e+03  3.866472899999999981e+02
1.251282500000000027e+03  3.859461400000000140e+02
1.258233999999999924e+03  3.848504399999999919e+02
1.265185600000000022e+03  3.839830799999999726e+02
1.272137199999999893e+03  3.838981200000000058e+02
1.279088700000000017e+03  3.848881499999999960e+02
1.286040299999999888e+03  3.868970899999999915e+02
1.292991899999999987e+03  3.895600699999999961e+02
1.299943400000000111e+03  3.923425399999999854e+02
1.306894999999999982e+03  3.947189000000000192e+02
1.313846600000000080e+03  3.963280500000000188e+02
1.320798099999999977e+03  3.970654299999999921e+02
1.327749700000000075e+03  3.971026699999999892e+02
1.334701299999999947e+03  3.968503200000000106e+02
1.341652900000000045e+03  3.968856799999999794e+02
1.348604399999999941e+03  3.978602700000000141e+02
1.355556000000000040e+03  4.003919900000000212e+02
1.362507599999999911e+03  4.049470200000000091e+02
1.369459100000000035e+03  4.117304199999999810e+02
1.376410699999999906e+03  4.206214600000000132e+02
1.383362300000000005e+03  4.311942900000000236e+02
1.390313799999999901e+03  4.428436500000000251e+02
1.397265400000000000e+03  4.549917399999999930e+02
1.404217000000000098e+03  4.673047100000000000e+02
1.411168499999999995e+03  4.798264399999999910e+02
1.418120100000000093e+03  4.929617000000000075e+02
1.425071699999999964e+03  5.073112899999999854e+02
1.432023200000000088e+03  5.234461199999999508e+02
1.438974799999999959e+03  5.417603900000000294e+02
1.445926400000000058e+03  5.625247200000000021e+02
1.452877999999999929e+03  5.861631200000000490e+02
1.459829500000000053e+03  6.136398799999999483e+02
1.466781099999999924e+03  6.467367100000000164e+02
1.473732700000000023e+03  6.880001700000000255e+02
1.480684199999999919e+03  7.402776999999999816e+02
1.487635800000000017e+03  8.060013900000000149e+02
1.494587399999999889e+03  8.866174399999999878e+02
1.501538900000000012e+03  9.826614100000000462e+02
1.508490500000000111e+03  1.094842100000000073e+03
1.515442099999999982e+03  1.226109699999999975e+03
1.522393600000000106e+03  1.384158100000000104e+03
1.529345199999999977e+03  1.583347800000000007e+03
1.536296800000000076e+03  1.844874399999999923e+03
1.543248399999999947e+03  2.194284900000000107e+03
1.550199900000000071e+03  2.656172799999999825e+03
1.557151499999999942e+03  3.246859800000000178e+03
1.564103100000000040e+03  3.966780999999999949e+03
1.571054599999999937e+03  4.794779900000000453e+03
1.578006200000000035e+03  5.686346400000000358e+03
1.584957799999999907e+03  6.576967999999999847e+03
1.591909300000000030e+03  7.390438100000000304e+03
1.598860899999999901e+03  8.050557999999999993e+03
1.605812500000000000e+03  8.493653500000000349e+03
1.612763999999999896e+03  8.679015600000000632e+03
1.619715599999999995e+03  8.594901099999999133e+03
1.626667200000000093e+03  8.258904800000000250e+03
1.633618799999999965e+03  7.712981499999999869e+03
1.640570300000000088e+03  7.014694700000000012e+03
1.647521899999999960e+03  6.227015800000000127e+03
1.654473500000000058e+03  5.409041299999999865e+03
1.661424999999999955e+03  4.609377300000000105e+03
1.668376600000000053e+03  3.862960799999999836e+03
1.675328199999999924e+03  3.191068000000000211e+03
1.682279700000000048e+03  2.603540800000000218e+03
1.689231299999999919e+03  2.101979899999999816e+03
1.696182900000000018e+03  1.682816399999999931e+03
1.703134399999999914e+03  1.339613299999999981e+03
1.710086000000000013e+03  1.064446999999999889e+03
1.717037600000000111e+03  8.485944899999999507e+02
1.723989199999999983e+03  6.828968800000000101e+02
1.730940700000000106e+03  5.581111799999999903e+02
1.737892299999999977e+03  4.653776199999999790e+02
1.744843900000000076e+03  3.967483799999999974e+02
1.751795399999999972e+03  3.456236200000000167e+02
1.758747000000000071e+03  3.069533099999999877e+02
1.765698599999999942e+03  2.771560600000000250e+02
1.772650100000000066e+03  2.538172299999999950e+02
1.779601699999999937e+03  2.352999000000000080e+02
1.786553300000000036e+03  2.204061100000000124e+02
1.793504799999999932e+03  2.081715000000000089e+02
1.800456400000000031e+03  1.977995999999999981e+02
1.807407999999999902e+03  1.886819500000000005e+02
1.814359600000000000e+03  1.804299399999999878e+02
1.821311099999999897e+03  1.728651099999999872e+02
1.828262699999999995e+03  1.659558700000000044e+02
1.835214300000000094e+03  1.597257299999999987e+02
1.842165799999999990e+03  1.541729499999999859e+02
1.849117400000000089e+03  1.492312200000000075e+02
1.856068999999999960e+03  1.447763300000000015e+02
1.863020500000000084e+03  1.406611800000000017e+02
1.869972099999999955e+03  1.367521199999999908e+02
1.876923700000000053e+03  1.329471900000000062e+02
1.883875199999999950e+03  1.291725900000000138e+02
1.890826800000000048e+03  1.253689700000000045e+02
1.897778399999999920e+03  1.214830500000000058e+02
1.904730000000000018e+03  1.174743799999999965e+02
1.911681499999999915e+03  1.133344299999999976e+02
1.918633100000000013e+03  1.091057299999999941e+02
1.925584700000000112e+03  1.048872300000000024e+02
1.932536200000000008e+03  1.008191400000000044e+02
1.939487800000000107e+03  9.705199299999999596e+01
1.946439399999999978e+03  9.371276699999999948e+01
1.953390900000000101e+03  9.088210899999999981e+01
1.960342499999999973e+03  8.859018500000000529e+01
1.967294100000000071e+03  8.682858000000000231e+01
1.974245599999999968e+03  8.556802100000000166e+01
1.981197200000000066e+03  8.477036900000000230e+01
1.988148799999999937e+03  8.438861099999999738e+01
1.995100400000000036e+03  8.435701099999999997e+01
2.002051899999999932e+03  8.458024100000000089e+01
2.009003500000000031e+03  8.493143299999999840e+01
2.015955099999999902e+03  8.526450800000000640e+01
2.022906600000000026e+03  8.543842800000000182e+01
2.029858199999999897e+03  8.534471700000000283e+01
2.036809799999999996e+03  8.492777900000000102e+01
2.043761299999999892e+03  8.419089200000000517e+01
2.050712899999999991e+03  8.318713400000000036e+01
2.057664499999999862e+03  8.200034899999999993e+01
2.064615999999999985e+03  8.072378500000000656e+01
2.071567599999999857e+03  7.944264200000000642e+01
2.078519200000000183e+03  7.822289399999999659e+01
2.085470800000000054e+03  7.710520499999999799e+01
2.092422300000000178e+03  7.610153800000000501e+01
2.099373900000000049e+03  7.519343000000000643e+01
2.106325499999999920e+03  7.433349599999999668e+01
2.113277000000000044e+03  7.345311399999999935e+01
2.120228599999999915e+03  7.247803999999999292e+01
2.127180199999999786e+03  7.135005599999999504e+01
2.134131699999999910e+03  7.004854000000000269e+01
2.141083299999999781e+03  6.860367100000000562e+01
2.148034900000000107e+03  6.709445499999999640e+01
2.154986399999999776e+03  6.562977600000000677e+01
2.161938000000000102e+03  6.431718999999999653e+01
2.168889599999999973e+03  6.322931700000000177e+01
2.175841199999999844e+03  6.237905500000000103e+01
2.182792699999999968e+03  6.171190599999999904e+01
2.189744299999999839e+03  6.111769600000000224e+01
2.196695900000000165e+03  6.045756500000000244e+01
2.203647399999999834e+03  5.959768799999999800e+01
2.210599000000000160e+03  5.844027400000000227e+01
2.217550600000000031e+03  5.694455800000000067e+01
2.224502100000000155e+03  5.513437199999999905e+01
2.231453700000000026e+03  5.309262999999999977e+01
2.238405299999999897e+03  5.094546900000000278e+01
2.245356800000000021e+03  4.883973499999999746e+01
2.252308399999999892e+03  4.691756099999999918e+01
2.259260000000000218e+03  4.529173699999999769e+01
2.266211600000000089e+03  4.402574700000000263e+01
2.273163100000000213e+03  4.312234000000000123e+01
2.280114700000000084e+03  4.252372100000000188e+01
2.287066299999999956e+03  4.212427600000000183e+01
2.294017800000000079e+03  4.179360299999999739e+01
2.300969399999999951e+03  4.140444600000000008e+01
2.307920999999999822e+03  4.085829499999999825e+01
2.314872499999999945e+03  4.010197500000000304e+01
2.321824099999999817e+03  3.913141600000000153e+01
2.328775700000000143e+03  3.798307400000000200e+01
2.335727199999999812e+03  3.671730600000000067e+01
2.342678800000000138e+03  3.540007500000000107e+01
2.349630400000000009e+03  3.408879799999999705e+01
2.356581900000000132e+03  3.282552700000000101e+01
2.363533500000000004e+03  3.163729599999999920e+01
2.370485099999999875e+03  3.054077799999999954e+01
2.377436700000000201e+03  2.954752900000000082e+01
2.384388199999999870e+03  2.866698299999999833e+01
2.391339800000000196e+03  2.790634400000000070e+01
2.398291400000000067e+03  2.726835099999999912e+01
2.405242900000000191e+03  2.674884199999999979e+01
2.412194500000000062e+03  2.633571200000000090e+01
2.419146099999999933e+03  2.600981399999999866e+01
2.426097600000000057e+03  2.574727499999999836e+01
2.433049199999999928e+03  2.552222400000000135e+01
2.440000799999999799e+03  2.530923500000000104e+01
2.446952299999999923e+03  2.508547300000000035e+01
2.453903899999999794e+03  2.483306500000000128e+01
2.460855500000000120e+03  2.454210000000000136e+01
2.467807099999999991e+03  2.421399900000000116e+01
2.474758600000000115e+03  2.386406200000000055e+01
2.481710199999999986e+03  2.352158899999999875e+01
2.488661799999999857e+03  2.322632199999999969e+01
2.495613299999999981e+03  2.302122100000000060e+01
2.502564899999999852e+03  2.294308900000000051e+01
2.509516500000000178e+03  2.301376199999999983e+01
2.516467999999999847e+03  2.323473100000000002e+01
2.523419600000000173e+03  2.358706700000000112e+01
2.530371200000000044e+03  2.403683300000000145e+01
2.537322700000000168e+03  2.454428100000000157e+01
2.544274300000000039e+03  2.507398600000000144e+01
2.551225899999999911e+03  2.560291399999999840e+01
2.558177499999999782e+03  2.612428200000000089e+01
2.565128999999999905e+03  2.664652399999999943e+01
2.572080599999999777e+03  2.718812799999999896e+01
2.579032200000000103e+03  2.777013499999999979e+01
2.585983700000000226e+03  2.840844600000000142e+01
2.592935300000000097e+03  2.910790700000000086e+01
2.599886899999999969e+03  2.985956699999999842e+01
2.606838400000000092e+03  3.064176600000000050e+01
2.613789999999999964e+03  3.142486200000000096e+01
2.620741599999999835e+03  3.217859399999999681e+01
2.627693099999999959e+03  3.288023499999999899e+01
2.634644699999999830e+03  3.352121999999999957e+01
2.641596300000000156e+03  3.410999000000000336e+01
2.648547900000000027e+03  3.466963899999999654e+01
2.655499400000000151e+03  3.523056199999999905e+01
2.662451000000000022e+03  3.582013899999999751e+01
2.669402599999999893e+03  3.645300799999999697e+01
2.676354100000000017e+03  3.712570000000000192e+01
2.683305699999999888e+03  3.781823899999999838e+01
2.690257300000000214e+03  3.850273200000000173e+01
2.697208799999999883e+03  3.915612399999999838e+01
2.704160400000000209e+03  3.977215900000000204e+01
2.711112000000000080e+03  4.036740000000000350e+01
2.718063500000000204e+03  4.097811200000000298e+01
2.725015100000000075e+03  4.164834900000000317e+01
2.731966699999999946e+03  4.241333300000000150e+01
2.738918299999999817e+03  4.328454299999999932e+01
2.745869799999999941e+03  4.424281700000000228e+01
2.752821399999999812e+03  4.524291199999999691e+01
2.759773000000000138e+03  4.622864899999999722e+01
2.766724499999999807e+03  4.715349599999999697e+01
2.773676100000000133e+03  4.799911399999999873e+01
2.780627700000000004e+03  4.878500199999999865e+01
2.787579200000000128e+03  4.956560600000000250e+01
2.794530799999999999e+03  5.041593699999999956e+01
2.801482399999999870e+03  5.141081700000000154e+01
2.808433899999999994e+03  5.260493400000000008e+01
2.815385499999999865e+03  5.402004900000000021e+01
2.822337100000000191e+03  5.564259400000000255e+01
2.829288700000000063e+03  5.743091700000000088e+01
2.836240200000000186e+03  5.932811399999999935e+01
2.843191800000000057e+03  6.127510300000000143e+01
2.850143399999999929e+03  6.321947300000000070e+01
2.857094900000000052e+03  6.511817299999999875e+01
2.864046499999999924e+03  6.693503099999999506e+01
2.870998099999999795e+03  6.863626700000000369e+01
2.877949599999999919e+03  7.018780900000000145e+01
2.884901199999999790e+03  7.155727400000000671e+01
2.891852800000000116e+03  7.272142100000000653e+01
2.898804299999999785e+03  7.367744399999999416e+01
2.905755900000000111e+03  7.445452000000000226e+01
2.912707499999999982e+03  7.512104899999999930e+01
2.919659099999999853e+03  7.578345799999999599e+01
2.926610599999999977e+03  7.657433199999999829e+01
2.933562199999999848e+03  7.763063300000000311e+01
2.940513800000000174e+03  7.906619899999999745e+01
2.947465299999999843e+03  8.094554499999999564e+01
2.954416900000000169e+03  8.326694700000000182e+01
